ensembl_id	gene_symbol	contrast	log_fold_change	avg_expression	t_statistic	p_value	adj_p_value
ENSG00000182093	GET1	astrocytoma_normal	-10.581894128253131	20.396684103619073	-5.676092891957489	5.375132717976347e-7	5.789670343272482e-6
ENSG00000182117	NOP10	astrocytoma_normal	2.335444151367296	10.366844139387863	1.7363317415533541	0.08811955790162164	0.15286963526294642
ENSG00000182118	FAM89A	astrocytoma_normal	6.1529016388993325	8.902269935405858	2.8576098126777825	0.006020694778659398	0.016545773428445175
ENSG00000182154	MRPL41	astrocytoma_normal	2.2183596928830216	5.183599074760167	3.5143392601941	8.918882344240143e-4	0.003324853239704095
ENSG00000182220	ATP6AP2	astrocytoma_normal	1.4429146939213482	24.80163013057551	0.48810102021598595	0.6274239251766929	0.71877616058398075
ENSG00000182247	UBE2E2	astrocytoma_normal	-0.7329149889149561	5.383104163675867	-1.8998123007287344	0.06272031385893247	0.11538092590384644
ENSG00000182253	SYNM	astrocytoma_normal	31.98940887229374	33.15457950582104	3.9146719282638656	2.524185704147423e-4	0.001135600459452237
ENSG00000182287	AP1S2	astrocytoma_normal	-2.3820799239726105	8.763078073251382	-1.0752233507968096	0.2869819170701674	0.3930421557470143
ENSG00000182481	KPNA2	astrocytoma_normal	-8.095481421318198	15.319681620822255	-2.7803471467098935	0.00742568118893214	0.01970748470626214
ENSG00000182512	GLRX5	astrocytoma_normal	0.442462366043238	12.31778789808494	0.47819271508431926	0.6344135710146102	0.7251829094727804
ENSG00000182628	SKA2	astrocytoma_normal	2.048008497574566	10.272862002684038	1.8342394649156546	0.07204510050253973	0.129289239055023
ENSG00000182636	NDN	astrocytoma_normal	-9.95689235617351	9.586693227504359	-3.631741796816472	6.202765813177812e-4	0.0024450210524586125
ENSG00000182667	NTM	astrocytoma_normal	-8.356455261713995	14.801406832488318	-3.264417911160335	0.0018921450021273454	0.006289519462788236
ENSG00000182670	TTC3	astrocytoma_normal	-16.814383755715507	11.820360409322905	-11.388332666997504	4.498101981074421e-16	4.1193576864122646e-14
ENSG00000182718	ANXA2	astrocytoma_normal	28.339447336825145	31.965398571065425	3.116049213406059	0.0029149920397206885	0.009010955664093424
ENSG00000182774	RPS17	astrocytoma_normal	-18.617729774597308	65.23607938547235	-2.98861915456511	0.0041870298158717435	0.012209227971375936
ENSG00000182827	ACBD3	astrocytoma_normal	-0.727275997267851	6.138402755448142	-1.3660895745183557	0.17748606458753854	0.2685117682256674
ENSG00000182899	RPL35A	astrocytoma_normal	-3.8823585883254865	8.841266830860171	-4.427718798158839	4.582893900189379e-5	2.679723616973708e-4
ENSG00000182916	TCEAL7	astrocytoma_normal	-3.808312884810415	11.98502323660934	-1.9833986606381508	0.052338178470318325	0.09980930944192301
ENSG00000182952	HMGN4	astrocytoma_normal	0.5500598834892513	5.693519162076686	0.9865556046972999	0.32819270788051624	0.437328612667041
ENSG00000182985	CADM1	astrocytoma_normal	-1.0882711852939453	12.205383577165366	-0.41910682448043834	0.6767749080369936	0.7606274898061051
ENSG00000183011	NAA38	astrocytoma_normal	1.8429058549245854	7.679492724742033	2.0619512241952123	0.043962982758516726	0.08648983945356618
ENSG00000183036	PCP4	astrocytoma_normal	-46.517929331624984	10.054238119583843	-10.627805199617459	6.234145299288883e-15	4.433759507891412e-13
ENSG00000183044	ABAT	astrocytoma_normal	-6.325525085515649	13.925832937175786	-3.1955995903122174	0.0023152949041789802	0.0074380193173496124
ENSG00000183172	SMDT1	astrocytoma_normal	-1.6558363156677283	12.75028656562901	-1.1636039606874886	0.2496215689724175	0.35246481183545514
ENSG00000183255	PTTG1IP	astrocytoma_normal	29.66211471561942	63.39309043079362	2.6324271425659	0.010989626312897993	0.02732555731855717
ENSG00000183283	DAZAP2	astrocytoma_normal	2.430417437998907	6.740736578222491	4.884425681312064	9.378408498292864e-6	6.824867955071179e-5
ENSG00000183291	SELENOF	astrocytoma_normal	9.49329854981408	27.08618230985268	2.458635337710281	0.017131804533210917	0.03960298198686931
ENSG00000183513	COA5	astrocytoma_normal	1.4630941452365456	5.420011818807675	2.934505603223983	0.00487028813547332	0.013861004518951737
ENSG00000183527	PSMG1	astrocytoma_normal	0.11766093211684282	5.545096679306242	0.19635746648618665	0.8450561172763502	0.8908044511770462
ENSG00000183648	NDUFB1	astrocytoma_normal	16.10378206604761	46.16997774810382	3.15661917238406	0.002592968998813413	0.008156302735288865
ENSG00000183684	ALYREF	astrocytoma_normal	-0.3901921252658866	5.490194263012999	-0.5186978726325777	0.6060579312507175	0.7003801710840905
ENSG00000183715	OPCML	astrocytoma_normal	4.687431532392379	10.949574087028425	1.5396646762523305	0.12939190030512973	0.20862480525120042
ENSG00000183722	LHFPL6	astrocytoma_normal	9.213750803920384	14.27811140317937	3.05641829760893	0.0034569492941073647	0.010416552740777841
ENSG00000183726	TMEM50A	astrocytoma_normal	1.3620596339204714	10.371699351000858	1.91703004630707	0.06044901557115175	0.11193476653079305
ENSG00000183741	CBX6	astrocytoma_normal	3.2448158992732665	6.560151661337771	3.7289198825577325	4.5716951171267907e-4	0.001881976955441193
ENSG00000183978	COA3	astrocytoma_normal	3.4734332554411784	18.689111811110454	2.0826526938713945	0.04195944433726745	0.08323824091278298
ENSG00000184009	ACTG1	astrocytoma_normal	-15.174754624445306	128.22920709186045	-1.454487404299215	0.15151026932590578	0.23680563915214825
ENSG00000184014	DENND5A	astrocytoma_normal	6.311783582034578	21.63885829207658	1.989482829487157	0.051643721014176205	0.09869142150169777
