Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000142949	640.1265402808054	-0.5734357008282678	0.10292776229211006	-5.5693102574502875	2.557497279566598e-8	1.9125474161551562e-7
ENSG00000142959	1.6972964158293613	-1.0804824182252324	0.41260585225348495	-2.5238664440210723	0.011607201695129523	0.025994217299411083
ENSG00000142961	81.04698789712774	-0.10583930929818275	0.12402761241890656	-0.868249978746271	0.3852574992545977	0.4955726953826215
ENSG00000142973	3.185094233171719	-0.7696927761681748	0.44927588101050997	-1.6400613050251347	0.10099242091384651	0.16657827299441016
ENSG00000143006	0.047809733449776924	0.05126424179035837	0.2508889519050871	0.20432990599041773	0.8380957013271129	NA
ENSG00000143013	330.23355507035456	0.8393070481114335	0.20038539759270305	4.202183422613081	2.6435279586989513e-5	1.0949904931614584e-4
ENSG00000143028	0.15499620098097036	-0.053970308052568375	0.26167473335178465	-0.20625006428313777	0.8365955827776327	NA
ENSG00000143032	0.8449981812688763	-1.221383920490482	0.45280117034341116	-2.612457316494858	0.008989391664501224	0.020709862024060045
ENSG00000143033	168.3219361025424	0.22243248854259864	0.11978107043777697	1.8502166024794993	0.0642823369846305	0.11393884901930475
ENSG00000143036	0.18216867128413594	-0.07880220079565708	0.36163010055045425	-0.15670122430281733	0.8754803221482149	NA
ENSG00000143061	114.88361870052674	-1.703558177740485	0.1573964598839618	-10.808079590383603	3.1519941422993938e-27	2.246434744119865e-25
ENSG00000143067	42.84643241576862	-1.301769374176244	0.2081011372429161	-6.297766984412437	3.019639747650103e-10	3.1963030665542684e-9
ENSG00000143079	124.55757178908713	-0.9023823283895903	0.12666759805472708	-7.126376814529737	1.0304537533172718e-12	1.5867483489037347e-11
ENSG00000143093	158.6625725878307	-0.4318556802299627	0.09399700833226177	-4.594500787120314	4.337864907133864e-6	2.0936078261472428e-5
ENSG00000143106	175.8984461704246	0.6742229232321726	0.12539676828804888	5.370554797850204	7.849477617745827e-8	5.392138711298142e-7
ENSG00000143107	0.8953382185946439	1.122947251224366	0.4293297962629802	2.334438577452976	0.019572768768111617	0.04109346436425982
